"EventID";"eventRemarks";"date";"year";"locationID";"stateProvince";"municipality";"locality";"verbatimLocality";"sampleSizeValue";"sampleSizeUnit";"rodentOcc"
"908CF572-E3B5-4C15-9CEA-94E22FD247B1";"LineTransect";"2021-08-05";2021;"8D432142-B444-40D3-AC70-624F07EECEA0";"Oppland";"Gausdal";"Gausdal refugie.";"Gausdal Fjellstyre";3519;"metre";0
"931E8EEA-2CAB-4B43-8FCA-6C0D1E560015";"LineTransect";"2021-08-05";2021;"1EEA9C16-DA23-4754-A185-7B2D0D546FAD";"Finnmark";"Sør-Varanger";"Pasvik";"Pasvik";2810;"metre";0
"42CE4F45-8521-44D7-ADE5-8732627A97D5";"LineTransect";"2021-08-05";2021;"3C0486C1-5B03-4425-A4E6-4114DF58C91E";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";1980;"metre";0
"82EBEA6E-0CDE-4AF7-8EE1-CECC0402D16A";"LineTransect";"2021-08-05";2021;"99D35A10-7BA7-4887-9921-27F98A43D985";"Nordland";"Saltdal";"Harodalen";"Midtre Salten";2778;"metre";0
"0A560904-E46F-4CD5-9F9D-84E5E1DA7C8D";"LineTransect";"2021-08-05";2021;"3887C2E9-C86F-4A5E-8516-74AB726961AC";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";2991;"metre";0
"11C9B6F7-2CBB-4684-A0E6-4D37CC2FFBF3";"LineTransect";"2021-08-05";2021;"732D5045-4B48-4E3D-8B3B-DDD0808ED0E5";"Finnmark";"Tana";"Tanadalen";"Øst Finnmark";2799;"metre";0
"6EF786DB-0B23-47ED-ABDF-2414470EA256";"LineTransect";"2021-08-05";2021;"BBFDB1CF-4B9F-4C91-A025-95CEA65A50A2";"Finnmark";"Sør-Varanger";"Neiden";"Øst Finnmark";2983;"metre";0
"B9BA6B05-DFFC-4C52-B139-7DE07752474A";"LineTransect";"2021-08-05";2021;"8CFA6785-4C9F-4563-8815-6C642BB9871C";"Finnmark";"Porsanger";"Savngovann";"Indre Finnmark";2580;"metre";0
"253E1FDA-E00A-4012-8CCC-2C99C27794D0";"LineTransect";"2021-08-05";2021;"88454BCD-6457-47D0-9D2E-26DEA7B120C7";"Finnmark";"Porsanger";"Kjæs";"Vest Finnmark kyst";2975;"metre";0
"FD7B585B-DD8C-4080-9F25-28264B4B23F7";"LineTransect";"2021-08-05";2021;"C7B381D0-F366-4E11-9AC0-89F9A82D70FF";"Finnmark";"Porsanger";"Kjæs";"Vest Finnmark kyst";3424;"metre";0
"37CBF491-0930-4BC1-AA51-BC81FE7752F8";"LineTransect";"2021-08-05";2021;"41ABE8F9-7A45-41C1-8DE5-89EB67167CDD";"Finnmark";"Sør-Varanger";"Neiden";"Øst Finnmark";3065;"metre";0
"67B9BE6D-99FA-439E-88E4-A6B043351A8F";"LineTransect";"2021-08-05";2021;"B8D98857-F5F0-4377-A9CA-AFCF4C8130BC";"Oppland";"Dovre";"Gåvålia";"Kongsvoll";2577;"metre";1
"AEC8EEDB-A663-4917-BBEF-E10381FD8AE7";"LineTransect";"2021-08-05";2021;"6479272C-8580-4048-9F76-355F008DE614";"Finnmark";"Porsanger";"Savngovann";"Indre Finnmark";2927;"metre";0
"BF711048-7FA5-4F84-89D2-E67B9EF0FC24";"LineTransect";"2021-08-05";2021;"DF297292-BE83-47C8-9CD0-E57DFF1C6324";"Sør-Trøndelag";"Selbu";"Selbu Fjellstyre";"Selbu Fjellstyre";1746;"metre";0
"1A94270D-9C6C-47F4-9C2E-DA084500EF01";"LineTransect";"2021-08-03";2021;"72870D3C-2D2F-48A7-AC5C-8025AEEFB9BE";"Oppland";"Lesja";"Lordalen";"Lesja Fjellstyre";4402;"metre";0
"D58F44D7-1EAF-42F4-9D69-7F26C8486E42";"LineTransect";"2021-08-05";2021;"4EFABC60-7E01-4A67-8211-798B3C0279DF";"Nord-Trøndelag";"Namsos";"Statskog og Klinga utm.";"Statskog og Klinga utm.";8000;"metre";0
"AF1BF4BE-63D5-4710-88C3-87CEF92351FC";"LineTransect";"2021-08-03";2021;"E03590AD-8B8E-4D16-B8AB-2FB5345A0294";"Oppland";"Lesja";"Lordalen";"Lesja Fjellstyre";4002;"metre";0
