"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Os Fjellstyre","Survival",7,-0.681040696796484,-0.843399644500747,-0.739848417860331,-0.611877987614186,-0.444504047019137,"**"
"Osen Fjellstyre","Lambda",6,-0.712406472088731,-0.915016643798238,-0.788600887140652,-0.631369789943597,-0.475803567233087,"**"
"Osen Fjellstyre","Recruitment",6,0.475527145362067,-0.184572723547829,0.259012429226068,0.663203549131829,0.894060549425891,"*"
"Osen Fjellstyre","Survival",6,-0.675281356975772,-0.92276125763196,-0.786515857337945,-0.486083115102012,0.024951110140726,"*"
"Øst Finnmark","Lambda",15,-0.652406407229202,-0.717655009905611,-0.674680261039232,-0.630092844867665,-0.586239406753836,"**"
"Øst Finnmark","Recruitment",15,0.595874998774261,0.442625296869945,0.541859055841026,0.646196713378445,0.738683802134837,"**"
"Øst Finnmark","Survival",15,-0.667506104878245,-0.775622707629728,-0.707420313546639,-0.618797626240528,-0.492051598711465,"**"
"Øvre Numedal Fjellstyre","Lambda",15,-0.209563913072165,-0.273468456051423,-0.231863654719002,-0.18596797409176,-0.135166162625036,"**"
"Øvre Numedal Fjellstyre","Recruitment",15,0.525431022427406,0.416032681174891,0.487913892048656,0.560399884623577,0.627132459430728,"**"
"Øvre Numedal Fjellstyre","Survival",15,-0.347066062372032,-0.580384906017385,-0.454704342645863,-0.21347399653841,0.0283042662171149,"*"
"Øystre Slidre Fjellstyre","Lambda",14,-0.774105492117452,-0.885528625451866,-0.814958586559349,-0.731136349313267,-0.640589602409142,"**"
"Øystre Slidre Fjellstyre","Recruitment",14,0.220236442555827,-0.00102899740932652,0.143543078889156,0.294445344227569,0.4310012015027,"*"
"Øystre Slidre Fjellstyre","Survival",14,-0.634533276579985,-0.814222790414219,-0.713218366489752,-0.520740316812458,-0.276304806203786,"**"
"Regionfelt Østlandet","Lambda",7,-0.786573020732868,-0.961576259236478,-0.869993381474594,-0.694097063343472,-0.560623112345687,"**"
"Regionfelt Østlandet","Recruitment",7,0.359832868698926,-0.302228271825501,0.135022552792441,0.562907892750721,0.847687120679508,"*"
"Regionfelt Østlandet","Survival",7,-0.639168511495987,-0.907881867795963,-0.752098985398964,-0.514134130367441,-0.234371008839042,"**"
"Ringebu Fjellstyre","Lambda",14,-0.55407836240552,-0.645377978266705,-0.585088035373775,-0.523375667664112,-0.465363619297465,"**"
"Ringebu Fjellstyre","Recruitment",14,-0.0885597050272775,-0.241287400333046,-0.1409877085719,-0.0339688116304689,0.0789330168590763,"*"
"Ringebu Fjellstyre","Survival",14,-0.360418166959619,-0.501471232195603,-0.412636481928692,-0.299577107044762,-0.149383266963017,"**"
"Røyrvik Fjellstyre","Lambda",4,-0.949837474567657,-0.99977917076495,-0.984208598020548,-0.89946575297618,-0.813187650874631,"**"
"Røyrvik Fjellstyre","Recruitment",4,0.93973971897779,0.682556838989832,0.877479240664817,0.97447805343229,0.997685458177643,"**"
"Røyrvik Fjellstyre","Survival",4,-0.593800465041304,-0.976364591435101,-0.806635495835684,-0.314694483128689,0.222923505341538,"*"
"Selbu Fjellstyre","Lambda",14,-0.513664676208066,-0.601826663210231,-0.543687711421362,-0.484369237005101,-0.430074881962083,"**"
"Selbu Fjellstyre","Recruitment",14,0.352495065120687,0.160483238116114,0.287360755103378,0.416510143170742,0.529730882357804,"**"
"Selbu Fjellstyre","Survival",14,-0.498056761876265,-0.603294826661855,-0.538154599160069,-0.447259038824601,-0.294443993445777,"**"
"Snåsa Fjellstyre","Lambda",14,-0.521541737713242,-0.745730330217948,-0.602692317272202,-0.440308095929621,-0.293812333891484,"**"
"Snåsa Fjellstyre","Recruitment",14,0.0354497480090877,-0.129707440137893,-0.0214796257215514,0.0952778545855058,0.209139820214013,"-"
"Snåsa Fjellstyre","Survival",14,-0.309626366847205,-0.612167230689655,-0.445777120026969,-0.133409532913236,0.183981868148283,"*"
"Soknedal Fjellstyre","Lambda",6,-0.315176759639917,-0.532297176610336,-0.396658919929224,-0.209487606429654,0.119675918412583,"*"
