"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Fron Fjellstyre","Lambda",12,-0.687304714281098,-0.791620744263645,-0.725551020655891,-0.645588006178602,-0.559983561796039,"**"
"Fron Fjellstyre","Recruitment",12,0.441565736594768,0.15927742420836,0.347220617733197,0.531931291833414,0.685037275855908,"**"
"Fron Fjellstyre","Survival",12,-0.731434924796624,-0.86195002370556,-0.782075032804191,-0.675379882310767,-0.549152803786863,"**"
"Gausdal Fjellstyre","Lambda",15,-0.749017416750299,-0.823137207774394,-0.775488638474541,-0.721915157055451,-0.668056805968887,"**"
"Gausdal Fjellstyre","Recruitment",15,0.622874462524794,0.484682982642527,0.577597420008346,0.665997325453182,0.742942432521247,"**"
"Gausdal Fjellstyre","Survival",15,-0.682305445210689,-0.808205405553241,-0.728291377268001,-0.633075511624327,-0.52127908395363,"**"
"Helgeland 1","Lambda",15,-0.579217258268167,-0.64613137943088,-0.601039155332425,-0.55876722567251,-0.518611160433739,"**"
"Helgeland 1","Recruitment",15,0.607282573146269,0.474896528912749,0.563779908408627,0.649629576516036,0.725728534815185,"**"
"Helgeland 1","Survival",15,-0.778681684796547,-0.884972351925786,-0.816447807412307,-0.743574896250076,-0.684121818708829,"**"
"Helgeland 2","Lambda",15,-0.715258773593464,-0.779451418117626,-0.73847640909602,-0.691481685993606,-0.644737548089489,"**"
"Helgeland 2","Recruitment",15,0.600753616132725,0.487356161877325,0.564201242923369,0.63571919470557,0.698304786834538,"**"
"Helgeland 2","Survival",15,-0.814100703586872,-0.868551503474185,-0.833831557149774,-0.792839799188484,-0.747819386404193,"**"
"Helgeland 3","Lambda",15,-0.511017407337171,-0.60886599568883,-0.548622614512674,-0.470001156983572,-0.377261225122389,"**"
"Helgeland 3","Recruitment",15,0.27327160854883,0.141663884836134,0.22754141668923,0.317081131975834,0.402304006826992,"**"
"Helgeland 3","Survival",15,-0.630190983501127,-0.743120991950774,-0.671864665489945,-0.584537183000565,-0.483425217798825,"**"
"Indre Finnmark","Lambda",15,-0.529898593115964,-0.593989753667011,-0.551572525021303,-0.508551962565705,-0.468230288920259,"**"
"Indre Finnmark","Recruitment",15,0.774663676052243,0.68497344650611,0.744988236200776,0.803173605496411,0.851791427073083,"**"
"Indre Finnmark","Survival",15,-0.749542124634379,-0.813185621513171,-0.771224052731061,-0.726862574896236,-0.683454682408966,"**"
"Indre Salten","Lambda",15,-0.625908875097832,-0.748138354190392,-0.670468639832135,-0.580644634072577,-0.493661142018953,"**"
"Indre Salten","Recruitment",15,0.643206405316775,0.330890285917146,0.54136614853642,0.735414203468964,0.858612011465306,"**"
"Indre Salten","Survival",15,-0.750255522885826,-0.853329467452738,-0.786321825542081,-0.712727908079693,-0.635514407376022,"**"
"Kongsvoll","Lambda",13,-0.554742180816735,-0.675916033334528,-0.596626648301141,-0.516694981552036,-0.456999481610142,"**"
"Kongsvoll","Recruitment",13,0.408108791784499,0.131271711622405,0.318631288354503,0.489026416748773,0.635012276485122,"**"
"Kongsvoll","Survival",13,-0.550506661453626,-0.661277489435102,-0.586920140079386,-0.515603152274533,-0.444392549535969,"**"
